Video ID,Date,Channel ID,Title
Bn3Aa325v4k,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Importance of Positive Feedback - GitHub Universe 2015
XWCmMXDaufM,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,From No Git to 3000 GitHub Enterprise Users - GitHub Universe 2015
VSPsEu7QmBM,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Working Together to Make Things Better for the World - GitHub Universe 2015
MVwj6DQM-PY,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Every Company is a Software Company - GitHub Universe 2015
0pzir6xoQQc,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Creating a Community at Docker - GitHub Universe 2015
5KMW5BA2qGk,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Tell Our Stories - GitHub Universe 2015
4etQ8s74aHg,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Democratic Deploys at Airbnb - GitHub Universe 2015
KzJghBDIBOM,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,CI in the World of MicroServices - GitHub Universe 2015
ndBwIFmOjzw,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Atlassian and Git LFS - GitHub Universe 2015
UquTe8QlSEo,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Visual Studio Online and Git LFS - GitHub Universe 2015
68ItppT_aGM,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Overview of Git LFS - GitHub Universe 2015
YHierHqxOT0,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Training the Team - GitHub Universe 2015
xD5p1Iw9In4,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Enterprise Primer and Deployment - GitHub Universe 2015
Falqd-5Nfqo,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Building Communities Around Open Source Security Software - GitHub Universe 2015
vCwuZfK0VG4,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Pull Requests, Code Review, and the GitHub Flow - GitHub Universe 2015"
IEwtBi7P9cQ,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Open Source Principles for Internal Engineering Teams - GitHub Universe 2015
vtz4tCxQgx0,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,FIDO U2F: The Next Step in the Evolution of Account Security - GitHub Universe 2015
l5SIbsy21jE,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git LFS Training - GitHub Universe 2015
GcMQgLT1VPw,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Digital-Industrial: Global Impact of Industrial Innovation - GitHub Universe 2015
yCOkM9PX6r0,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Five years, building a culture, and handing it off - GitHub Universe 2015"
EZy1Dl5KJNg,2015-11-10,UC7c3Kb6jYCRj4JOHHZTxKsQ,The Mini Octocat Figurine
6-FqUO_RzUo,2016-02-04,UC7c3Kb6jYCRj4JOHHZTxKsQ,Opening Keynote - GitHub Universe 2015
vq2jYFZVMDA,2015-10-01,UC7c3Kb6jYCRj4JOHHZTxKsQ,GitHub Universe
VzuBJTtwm3o,2015-10-06,UC7c3Kb6jYCRj4JOHHZTxKsQ,Anna's Story
_11d1ZsEZ8g,2015-10-01,UC7c3Kb6jYCRj4JOHHZTxKsQ,Git LFS 1.0
UQYWHQMKOQA,2017-06-01,UC7c3Kb6jYCRj4JOHHZTxKsQ,"How Argument Cultures & Critical Feedback are Hurting Eng. Teams, Kate Heddleston - CodeConf 2015"
85fXs6cQETQ,2017-06-01,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Becoming a Better Programmer, Peter Goodliffe - CodeConf 2015"
NqjPy1Ltsv8,2017-05-31,UC7c3Kb6jYCRj4JOHHZTxKsQ,"The Hacker's Guide to the Galaxy, Ariel Waldman - CodeConf 2015"
CGfCLy_c9NE,2017-05-30,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Improving Online Learning and Collaboration Through Design, Kortney Ziegler - CodeConf 2015"
F33S9OTN26M,2017-05-30,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Microsoft Azure and Hadoop, an OSS Story, Jennifer Marsman - CodeConf 2015"
W42S1pkSq-o,2017-05-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,"How Facebook does Open Source at Scale, Christine Abernathy - CodeConf 2015"
wTqaz5vf8U0,2017-05-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Conversational Aikido and Other Lessons in Moderation, Lee Dohm - CodeConf 2015"
NdmhVX6zIr4,2017-05-29,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Single Page Web Apps with Electron, Paul Betts - CodeConf 2015"
qBOsGwpwEoY,2017-05-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,"Web Components in Google Chrome, Elliott Sprehn - CodeConf 2015"
N8AZFUOBsaw,2017-05-28,UC7c3Kb6jYCRj4JOHHZTxKsQ,"World of Atom, Daniel Hengeveld, Chris Wanstrath, Ben Ogle - CodeConf 2015"
